ticker,date_removed,reason
GME,"April 25, 2016",GameStop
THC,"April 18, 2016",Tenet Healthcare
CAM,"April 4, 2016",Cameron International
POM,"March 30, 2016",Pepco Holdings
ESV,"March 30, 2016",Ensco
GMCR,"March 7, 2016",Keurig Green Mountain
CNX,"March 4, 2016",Consol Energy
PCL,"February 22, 2016",Plum Creek Timber
PCP,"February 1, 2016",Precision Castparts Corporation
BRCM,"February 1, 2016",Broadcom Corporation
ACE,"January 19, 2016",Chubb
FOSL,"January 5, 2016",Fossil Group
ALTR,"December 29, 2015",Altera
CMCSK,"December 15, 2015",Comcast K Corp
CSC,"December 1, 2015",Computer Sciences Corporation
SIAL,"November 19, 2015",Sigma-Aldrich
GNW,"November 18, 2015",Genworth Financial
HCBK,"November 2, 2015",Hudson City Bancorp
JOY,"October 7, 2015",Joy Global
HSP,"September 2, 2015",Hospira
PLL,"August 28, 2015",Pall Corporation
DTV,"July 29, 2015",DirecTV
NE,"July 20, 2015",Noble Corporation
FDO,"July 8, 2015",Family Dollar
KRFT,"July 6, 2015",Kraft Foods
ATI,"July 2, 2015",Allegheny Technologies
TEG,"July 1, 2015",Integrys Energy Group
QEP,"July 1, 2015",QEP Resources
LO,"June 11, 2015",Lorillard Tobacco Company
WIN,"April 7, 2015",Windstream Communications
DNR,"March 23, 2015",Denbury Resources
NBR,"March 23, 2015",Nabors Industries
AVP,"March 23, 2015",Avon Products
CFN,"March 18, 2015",Carefusion
PETM,"March 12, 2015",PetSmart
SWY,"January 27, 2015",Safeway
COV,"January 27, 2015",Covidien
JBL,"November 5, 2014",Jabil Circuit
BTU,"September 20, 2014",Peabody Energy
GHC,"September 20, 2014",Graham Holdings
RDC,"August 18, 2014",Rowan Companies
X,"July 2, 2014",United States Steel
FRX,"July 1, 2014",Forest Laboratories
IGT,"June 20, 2014",International Game Technology
LSI,"May 8, 2014",LSI Corporation
BEAM,"May 1, 2014",Suntory Global Spirits
SLM,"May 1, 2014",SLM Corporation
CLF,"April 2, 2014",Cliffs Natural Resources
WPX,"March 21, 2014",WPX Energy
LIFE,"January 24, 2014",Life Technologies
ANF,"December 23, 2013",Abercrombie & Fitch
JDSU,"December 23, 2013",JDS Uniphase
TER,"December 23, 2013",Teradyne
MOLX,"December 10, 2013",Molex
JCP,"December 2, 2013",JCPenney
NYX,"November 13, 2013",NYSE Euronext
DELL,"October 29, 2013",Dell
AMD,"September 20, 2013",Advanced Micro Devices
SAI,"September 20, 2013",SAIC
BMC,"September 10, 2013",BMC Software
S,"July 8, 2013",Sprint Nextel
APOL,"July 1, 2013",Apollo Education Group
FHN,"June 21, 2013",First Horizon
HNZ,"June 6, 2013",Heinz
DF,"May 23, 2013",Dean Foods
CVH,"May 8, 2013",Coventry Health Care
PCS,"April 30, 2013",MetroPCS
BIG,"February 15, 2013",Big Lots
FII,"January 2, 2013",Federated Investors
TIE,"December 21, 2012",Titanium Metals
RRD,"December 11, 2012",RR Donnelley
CBE,"December 3, 2012",Cooper Industries
SUN,"October 10, 2012",Sunoco
ANR,"October 2, 2012",Alpha Natural Resources
KFT,"October 2, 2012",Kraft Foods
LXK,"October 1, 2012",Lexmark
DV,"October 1, 2012",DeVry
SHLD,"September 5, 2012",Sears Holdings
GR,"July 31, 2012",Goodrich Corporation
PGN,"July 2, 2012",Progress Energy
SLE,"June 29, 2012",Sara Lee Corporation
NVLS,"June 5, 2012",Novellus Systems
MMI,"May 21, 2012",Motorola Mobility
EP,"May 17, 2012",El Paso Corporation
SVU,"April 23, 2012",Supervalu
MHS,"April 3, 2012",Medco Health Solutions
CEG,"March 13, 2012",Constellation Energy Group
CPWR,"December 31, 2011",Compuware
TLAB,"December 20, 2011",Tellabs
AKS,"December 16, 2011",AK Steel
MWW,"December 16, 2011",Monster Worldwide
WFR,"December 16, 2011",MEMC Electronic Materials
JNS,"November 18, 2011",Janus Capital Group
ITT,"October 31, 2011",ITT
CEPH,"October 14, 2011",Cephalon
NSM,"September 23, 2011",National Semiconductor
MI,"July 5, 2011",Marshall & Ilsley
RSH,"June 30, 2011",RadioShack
MEE,"June 1, 2011",Massey Energy
NOVL,"April 27, 2011",Novell
GENZ,"April 1, 2011",Genzyme
Q,"March 31, 2011",Qwest Communications
MFE,"February 28, 2011",McAfee
AYE,"February 25, 2011",Allegheny Energy
MDP,"January 3, 2011",Meredith Corp
KG,"December 17, 2010",King Pharmaceuticals
EK,"December 17, 2010",Eastman Kodak
ODP,"December 17, 2010",Office Depot
NYT,"December 17, 2010",The New York Times Company
PTV,"November 17, 2010",Pactiv
SII,"August 26, 2010",Smith International
MIL,"July 14, 2010",Millipore
STR,"June 30, 2010",Questar
XTO,"June 28, 2010",XTO Energy
BJS,"April 29, 2010",BJ Services
RX,"February 26, 2010",IMS Health
CIEN,"December 18, 2009",Ciena
DYN,"December 18, 2009",Dynegy
KBH,"December 18, 2009",KB Home
